OBJECTID,Station,Lat,Long,Grow_Area,land_1000,land_500,land_100,imperv_1000,imperv_500,imperv_100,pct_100,pct_500,pct_1000,pct_l_100,pct_l_500,pct_l_1000
44,WI090.00,43.714919999999999,-70.118819999999999,WI,47089,15648,152,63089,27971,1177,3.7465105,3.5613813,2.0081871,30.9736843,7.1500511,5.3591285
45,WI092.00,43.721640000000001,-70.111729999999994,WI,50161,9058,,71471,12982,0,0.0000000,1.6529210,2.2749946,,5.7328329,5.6993279
46,WI093.00,43.729950000000002,-70.109350000000006,WI,61306,16003,,98436,38625,0,0.0000000,4.9178920,3.1333179,,9.6544399,6.4226012
47,WI095.00,43.754339999999999,-70.096069999999997,WI,31245,12245,1,47143,21519,0,0.0000000,2.7398865,1.5006095,0.0000000,7.0294814,6.0352697
48,WI116.00,43.709130000000002,-70.078689999999995,WI,8697,2880,386,0,0,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
49,WJ001.00,43.807360000000003,-70.108720000000005,WJ,27798,5420,711,47944,8173,1022,3.2531297,1.0406196,1.5261062,5.7496486,6.0317345,6.8989134
50,WJ001.20,43.810899999999997,-70.109899999999996,WJ,39060,1949,,77660,1741,0,0.0000000,0.2216712,2.4719965,,3.5731144,7.9528928
51,WJ001.50,43.804160000000003,-70.116550000000004,WJ,53512,14967,466,83878,28468,0,0.0000000,3.6246614,2.6699219,0.0000000,7.6082048,6.2698460
52,WJ002.00,43.813870000000001,-70.114090000000004,WJ,62745,10769,522,141201,22822,922,2.9348197,2.9057899,4.4945712,7.0651340,8.4769249,9.0015774
53,WJ002.50,43.815800000000003,-70.118269999999995,WJ,90118,23721,524,168401,36880,0,0.0000000,4.6957116,5.3603749,0.0000000,6.2189622,7.4746885
54,WJ002.51,43.814790000000002,-70.110079999999996,WJ,52384,5307,,149600,21729,0,0.0000000,2.7666245,4.7619200,,16.3776150,11.4233351
55,WJ003.00,43.817149999999998,-70.111210000000000,WJ,61283,12964,619,161010,46936,2509,7.9864016,5.9760823,5.1251116,16.2132473,14.4819498,10.5092764
56,WJ006.00,43.820369999999997,-70.105599999999995,WJ,57031,9190,240,166927,68483,8997,28.6383648,8.7195339,5.3134561,149.9499969,29.8076172,11.7078085
57,WJ007.12,43.822710000000001,-70.102010000000007,WJ,61739,2664,,175179,26114,0,0.0000000,3.3249404,5.5761256,,39.2102089,11.3496494
58,WJ008.00,43.825449999999996,-70.106039999999993,WJ,75242,17885,741,234982,66913,2372,7.5503168,8.5196352,7.4797158,12.8043184,14.9651661,12.4920654
59,WJ009.00,43.829810000000002,-70.097740000000002,WJ,55527,9721,586,102218,29864,2087,6.6431332,3.8024058,3.2537026,14.2457342,12.2884474,7.3634810
60,WJ009.70,43.835120000000003,-70.100499999999997,WJ,76742,20851,529,133336,43135,64,0.2037185,5.4921236,4.2442203,0.4839320,8.2749033,6.9498320
61,WJ009.80,43.834629999999997,-70.094729999999998,WJ,59992,5549,,82511,10390,0,0.0000000,1.3228970,2.6264088,,7.4896379,5.5014668
62,WJ011.00,43.842430000000000,-70.096220000000002,WJ,95680,22493,364,91984,30864,1397,4.4467931,3.9297299,2.9279442,15.3516483,5.4886408,3.8454850
63,WJ014.00,43.838529999999999,-70.089439999999996,WJ,67672,12526,547,51714,9118,702,2.2345374,1.1609408,1.6461091,5.1334553,2.9117036,3.0567443
64,WJ014.15,43.847130000000000,-70.079989999999995,WJ,110778,23880,391,50765,1105,0,0.0000000,0.1406931,1.6159015,0.0000000,0.1850921,1.8330355
