"Station","Lat","Long"
"EN004.00",44.53346,-67.6975
"EN005.00",44.53911,-67.69713
"EN006.40",44.54616,-67.66602
"EN006.50",44.5485,-67.66527
"EN006.90",44.56048,-67.66524
"EN009.00",44.57101,-67.65841
"EN010.00",44.56449,-67.6543
"EN010.50",44.56515,-67.64791
"EN013.00",44.54961,-67.62946
"EN015.00",44.53115,-67.63719
"EN016.00",44.52761,-67.64081
"EN017.60",44.526,-67.63089
"EN019.40",44.52494,-67.61926
"EN021.00",44.5216,-67.61822
"EN023.00",44.51493,-67.6175
"EN023.50",44.51254,-67.6179
"EN025.00",44.48863,-67.59916
"EN026.00",44.4782,-67.59676
"EN027.00",44.47037,-67.59263
"EN031.00",44.48757,-67.59416
"EN032.00",44.49367,-67.59321
"EN035.00",44.51679,-67.58322
"EN037.00",44.51517,-67.59364
"EN038.00",44.50999,-67.59542
"EN039.00",44.50867,-67.60199
"EN041.00",44.51764,-67.60915
"EN042.00",44.51868,-67.60646
"EN043.00",44.52217,-67.61004
"EN044.00",44.52314,-67.61127
"EN045.50",44.52588,-67.61153
"EN046.20",44.52825,-67.60587
"EN046.50",44.5285,-67.60107
"EN047.40",44.52855,-67.59828
"EN047.60",44.52893,-67.5962
"EP001.00",44.53101,-67.58925
"EP002.00",44.53159,-67.57383
"EP003.00",44.53952,-67.56205
"EP006.00",44.57589,-67.5698
"EP006.90",44.59648,-67.55767
"EP009.00",44.61432,-67.55954
"EP011.00",44.61895,-67.58776
"EP013.00",44.62829,-67.55794
"EP014.10",44.63145,-67.54945
"EP014.60",44.64121,-67.55429
"EP017.50",44.65578,-67.54709
"EP018.00",44.64435,-67.54329
"EP020.00",44.63907,-67.52704
"EP021.00",44.64434,-67.50633
"EP022.00",44.63752,-67.50616
"EP023.00",44.61588,-67.49588
"EP025.00",44.6101,-67.47722
"EP029.00",44.60692,-67.46591
"EP030.00",44.60268,-67.4587
"EQ001.00",44.61541,-67.43463
"EQ002.50",44.63858,-67.44917
"EQ003.00",44.65112,-67.439
"EQ005.10",44.66721,-67.45267
"EQ005.60",44.66548,-67.44391
"EQ006.00",44.66624,-67.43027
"EQ006.20",44.6668,-67.435
"EQ006.70",44.66186,-67.43088
"EQ009.00",44.62006,-67.42086
"ER001.00",44.60825,-67.39764
"ER003.10",44.62769,-67.38444
"ER004.00",44.63952,-67.37884
"ER005.00",44.64387,-67.38002
"ER007.00",44.6675,-67.38732
"ER008.00",44.67785,-67.3794
"ER009.00",44.6765,-67.38762
"ER010.00",44.67955,-67.39557
"ER012.00",44.68643,-67.39748
"ER012.10",44.69,-67.4
"ER016.00",44.69678,-67.39297
"ER038.00",44.71213,-67.38095
"ER039.00",44.70743,-67.38297
"ER040.00",44.69973,-67.39028
"ER043.00",44.69074,-67.3866
"ER045.00",44.69084,-67.37508
"ER046.00",44.70348,-67.35859
"ER047.00",44.706,-67.31874
"ER048.00",44.70793,-67.29636
"ER051.00",44.6931,-67.30428
"ES004.00",44.66707,-67.26366
"ES005.00",44.66907,-67.24645
"ES008.00",44.65898,-67.2287
"ES009.00",44.65527,-67.21344
"ES012.00",44.66117,-67.19303
"ES014.50",44.71243,-67.10922
"ES015.00",44.73738,-67.1153
"ES016.80",44.75423,-67.06991
"ES017.00",44.76997,-67.06862
"ES021.00",44.80743,-66.98121
"ES021.50",44.81253,-66.97721
"ES022.00",44.8145,-66.9885
"ES023.00",44.82448,-66.98901
"ES026.00",44.8433,-66.99685
"ES027.00",44.85475,-66.98174
"ET007.00",44.84526,-67.00952
"ET008.00",44.84643,-67.01888
"ET008.30",44.84837,-67.01689
"ET009.00",44.85798,-67.01527
"ET011.00",44.8643,-67.01344
"ET011.10",44.8645399999786,-67.0136300005881
"ET012.00",44.87166,-67.01867
"ET013.00",44.87776,-67.01889
"ET017.00",44.90373,-67.05377
"ET020.00",44.85718,-67.02172
"ET023.00",44.83007,-67.05932
"ET025.00",44.8554,-67.07998
"ET026.00",44.88462,-67.09215
"ET027.00",44.89021,-67.0998
"ET029.00",44.87197,-67.09892
"ET031.50",44.85411,-67.10096
"ET032.00",44.85707,-67.09022
"ET033.50",44.84254,-67.12247
"ET036.00",44.87215,-67.13927
"ET039.00",44.81949,-67.1282
"ET044.00",44.79994,-67.17034
"ET045.00",44.80703,-67.16413
"ET047.00",44.82287,-67.15476
"ET054.00",44.8573,-67.14775
"ET056.90",44.89,-67.19
"ET057.00",44.88829,-67.19644
"ET057.20",44.886,-67.20063
"ET059.00",44.90687,-67.20506
"ET060.00",44.90566,-67.21306
"ET063.00",44.91294,-67.21606
"ET064.00",44.91104,-67.20722
"ET066.50",44.92649,-67.21612
"ET068.00",44.91845,-67.18368
"ET069.00",44.90874,-67.16833
"ET070.00",44.90002,-67.14971
