"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"44","WI093.00",2,0,2.10360264827768,2,30,0.616512465064676,0.0270610571274035,0.723841169784017,0.78403005956224,30
"45","WI095.00",2,0,2.17271470588387,2,30,0.618636788271258,0.0234436419760569,0.753641122615658,0.780274014063586,30
"46","WJ001.00",2,0,2.57721462409869,5.85,64,0.624165018981161,1.39512825247384,1.18325472799018,5.85,64
"47","WJ001.20",2,0,2.2564916405441,2,40,0.620607068438615,0.0466205536673041,0.90401597916491,2,40
"48","WJ001.50",2,0,3.07711282918332,19.6,63,0.620710818554849,1.39833250045908,1.52379766812417,19.6,63
"49","WJ002.00",2,0,2.88478135109081,8,65,0.625712587827174,1.39430500954132,1.26680836391742,8,65
"50","WJ002.50",2,0,3.33788044168897,13,65,0.633664608264989,1.39133010050693,1.66890524194412,13,65
"51","WJ002.51",2,0,2.10953215296329,2,39,0.615991166612915,0.719006020453124,0.87025493866286,2,39
"52","WJ003.00",2,0,2.77916374384438,5.6,69,0.615008188707255,0.0533153289070941,1.13598034763591,5.6,69
"53","WJ006.00",2,0,2.34657195653026,4,68,0.6366360592042,1.38985501537352,1.23180413739725,4,68
"54","WJ007.12",2,0,2.2213838876049,2.40000000000001,39,0.616592261655491,0.719395907844406,0.918710543257954,2.40000000000001,39
"55","WJ008.00",2,2,3.31686159682172,15.4,67,2,3.386520633796,1.8932639053196,11.46,67
"56","WJ009.00",2,0,2.76969011834541,8,46,1.32455019791255,1.38258462702124,1.53866663237043,8,46
"57","WJ009.70",2,2,3.10670538507478,9.82,73,0.629802686324391,3.39665659989127,1.56660943313777,9.82,73
"58","WJ009.80",2,1.6,2.85693922050605,6,53,0.622514120657989,2.99128808133373,1.39442279295217,6,53
"59","WJ011.00",2,4,3.88990512092306,13,71,2,5.38318101896446,2.28256609243519,13,71
"60","WJ014.00",2,2.75,3.75599512102539,15.6,79,0.637348231799809,3.38497688269572,1.98492947088103,13.4,79
"61","WJ014.15",4,10,6.39479453562353,32.3,60,4,10,4.96255983557488,32.3,60
"62","WJ014.17",2,5.3,4.38013613808761,21.6,47,2,6.68445992295076,2.92397625424491,21.6,47
"63","WJ014.20",3,6,4.63526522912169,19,66,3,7.3773098333387,3.01392529626702,19,66
"64","WJ014.31",2,4,3.85114427166204,11,51,2,5.38829410318003,2.41509804161836,11,51
"65","WJ014.41",2,0.4,2.7737752740147,5.8,52,0.627950331426317,1.79373437198739,1.39447250521875,5.8,52
"66","WJ014.50",2,3.625,3.9816893652109,13.8,72,2,4.99597343419114,2.52715191427717,13.8,72
"67","WJ014.70",2,2,3.4023915044991,9.1,65,0.642174555574981,3.38773482287055,1.77616643191035,8.66,65
"68","WJ014.80",2,0,2.39100177349948,6,40,0.625648467846671,1.38731823487738,1.07852957695418,6,40
"69","WJ014.90",2,0,2.51151604549228,4,39,0.629438069044878,1.39041489898064,1.14060095178412,4,39
"70","WJ015.00",2,0,2.65092417409135,4,63,0.624305809372533,1.39627699692518,1.22478038869656,4,63
"71","WJ015.50",2,0,2.44340322021325,4,39,0.628205593450394,1.38793230961941,1.08123346098058,4,39
"72","WJ016.00",2,0,2.89014587392579,5.65,68,1.32554104652977,1.39001329073227,1.59543221230676,5.65,68
"73","WJ017.00",2,0,2.95908988249164,6,31,0.619515039070023,0.717305961675197,1.22857936241905,6,31
