X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
384176.801300000399351,4804989.314799999818,645,WE020.00,A,30,30,4.3,0.44,36,16.3,31,163,43.3888400001007,-70.430039999863,WE,4fcba2f5-b640-460e-9ebe-9f2778d9d329
384546.399899999611,4804429.757099999115,646,WE022.00,A,30,30,3.6,0.45,92,13.8,31,163,43.3838599998001,-70.4253599998316,WE,73f1f32c-f5b8-47bd-8abf-98c1e9992410
384508.8454,4805692.3855,647,WE023.00,A,30,30,5.1,0.52,84,24.3,31,163,43.3952199997085,-70.4260900004729,WE,5925a64b-79ba-4b88-853f-148180ad154c
384878.61670000012964,4805761.6126,648,WE024.50,A,30,30,2.5,0.22,8,4.9,31,163,43.3958999999344,-70.4215400003049,WE,cd0c66f8-992b-42a1-a461-486e07a1fc4b
386446.6261,4806562.6775,649,WE027.00,P,30,30,10,0.78,1700,102.4,31,163,43.4033499998752,-70.402350000456,WE,8aa75339-8375-4274-84b6-68e14ac25da9
386712.583200000226498,4806434.8999,650,WE028.00,A,30,30,3.9,0.46,116,15.3,31,163,43.4022400004067,-70.3990400000436,WE,5a402b40-4cb7-41a1-897d-4cbb1f58bc06
386817.054899999872,4806965.2653,651,WE030.00,A,30,30,3.7,0.45,84,14.4,31,163,43.4070300003649,-70.3978599996963,WE,9c20e103-b225-4ecd-82f4-3cf9eab143fc
388525.8569,4809065.284199999645,656,WF004.50,A,30,30,2.9,0.36,56,8.6,31,163,43.4261899998279,-70.3771900000338,WF,6d58ee0b-1242-43c3-a6cf-1f651ce5b9dc
389265.122899999842048,4810152.882799999788,657,WF006.00,A,30,30,2.6,0.33,46,7,31,163,43.436089999769,-70.3682799998709,WF,9f1e7cd9-16e9-4623-a9d3-82d368b10b87
390606.850700000301003,4810773.069599999115,658,WF006.10,A,30,30,2.6,0.34,80,7.1,31,163,43.4418699998536,-70.3518300000888,WF,9494c305-a621-4849-b6a0-47563b2d1f56
