date,station,AWND,AWNDattr,FMTM,FMTMattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WESD,WESDattr,WSF2,WSF2attr,WT01,WT01attr,WT07,WT07attr,WT08,WT08attr,WT13,WT13attr,WT16,WT16attr,PGTM,PGTMattr,WDF5,WDF5attr,WSF5,WSF5attr,WT02,WT02attr,WT09,WT09attr,WT05,WT05attr,WT03,WT03attr,WT14,WT14attr,WT18,WT18attr,WT17,WT17attr,WT19,WT19attr,WT11,WT11attr,WT22,WT22attr,WT04,WT04attr,WT06,WT06attr,TAVG,TAVGattr
2/19/2015,,40,",,W,",,,76,",,W,2400",147,",,W,",640,",,W,2400",6,",,W,2400",-99,",,W,2400",290,",,W,",,,98,",,W,",1,",,W,",,,1,",,W,",,,,,,,280,",,W,",125,",,W,",1,",,W,",,,,,,,,,,,,,,,,,,,,,,,-25,"H,,S,"
2/20/2015,,57,",,W,",,,0,",,W,2400",0,",,W,",610,",,W,2400",-71,",,W,2400",-138,",,W,2400",300,",,W,",,,94,",,W,",,,,,1,",,W,",,,,,,,270,",,W,",130,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-103,"H,,S,"
2/21/2015,,34,",,W,",,,38,",,W,2400",36,",,W,",580,",,W,2400",11,",,W,2400",-182,",,W,2400",190,",,W,",,,81,",,W,",1,",,W,",,,,,,,,,,,190,",,W,",125,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-99,"H,,S,"
2/22/2015,,9,",,W,",,,3,",,W,2400",3,",,W,",580,",,W,2400",17,",,W,2400",-60,",,W,2400",220,",,W,",,,58,",,W,",1,",,W,",,,,,,,,,,,220,",,W,",76,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-5,"H,,S,"
2/23/2015,,65,",,W,",,,0,",,W,2400",0,",,W,",560,",,W,2400",-5,",,W,2400",-199,",,W,2400",310,",,W,",,,116,",,W,",,,,,,,,,,,,,320,",,W,",157,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-57,"H,,S,"
2/24/2015,,22,",,W,",,,0,"T,,W,2400",0,"T,,W,",560,",,W,2400",-71,",,W,2400",-238,",,W,2400",220,",,W,",,,63,",,W,",,,,,1,",,W,",,,,,,,230,",,W,",85,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-166,"H,,S,"
2/25/2015,,37,",,W,",,,23,",,W,2400",38,",,W,",580,",,W,2400",11,",,W,2400",-99,",,W,2400",270,",,W,",,,98,",,W,",1,",,W,",,,1,",,W,",,,,,,,270,",,W,",125,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-59,"H,,S,"
2/26/2015,,30,",,W,",,,0,",,W,2400",0,",,W,",560,",,W,2400",-60,",,W,2400",-105,",,W,2400",10,",,W,",,,58,",,W,",,,,,,,,,,,,,300,",,W,",72,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-75,"H,,S,"
2/27/2015,,21,",,W,",,,0,",,W,2400",0,",,W,",560,",,W,2400",-27,",,W,2400",-155,",,W,2400",290,",,W,",,,54,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,"H,,S,"
2/28/2015,,20,",,W,",,,0,",,W,2400",0,",,W,",530,",,W,2400",-27,",,W,2400",-216,",,W,2400",180,",,W,",,,63,",,W,",,,,,,,,,,,,,170,",,W,",81,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-106,"H,,S,"
